Date,Video Title,External Video ID,Video Length,Thumbnail link,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
22 Jun 2021,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,8nTmuKI2oyA,505,https://i.ytimg.com/vi/8nTmuKI2oyA/hqdefault.jpg,18,1,0,0,0,0,0.5460381738173817,275.74927777777776,0
22 Jun 2021,How to Stay Productive & Motivated When Learning Data Science,akbU9KOo_Qc,672,https://i.ytimg.com/vi/akbU9KOo_Qc/hqdefault.jpg,10,0,0,0,0,0,0.4158040178571429,279.4203,0
22 Jun 2021,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,n7kjelw9s2w,59,https://i.ytimg.com/vi/n7kjelw9s2w/hqdefault.jpg,22,2,0,0,0,0,0.6621856702619414,39.068954545454545,0
22 Jun 2021,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),nUOh_lDMHOU,2207,https://i.ytimg.com/vi/nUOh_lDMHOU/hqdefault.jpg,27,1,0,0,0,0,0.03696037859336455,81.57155555555555,0
22 Jun 2021,Data Science Project Example Start to Finish (Deep Learning Image Classifier),vy-R4oUZaC8,1451,https://i.ytimg.com/vi/vy-R4oUZaC8/hqdefault.jpg,9,1,0,0,0,0,0.19154253771345434,277.9282222222222,0
22 Jun 2021,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),QWgg4w1SpJ8,4119,https://i.ytimg.com/vi/QWgg4w1SpJ8/hqdefault.jpg,72,0,0,0,0,0,0.16612457851150494,684.2671388888889,0
22 Jun 2021,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),q6Lf2yhvluw,1108,https://i.ytimg.com/vi/q6Lf2yhvluw/hqdefault.jpg,4,0,0,0,0,0,0.1030254963898917,114.15225,0
22 Jun 2021,IT'S NOT TOO LATE TO LEARN CODE!,j-Z-je6K4Yg,186,https://i.ytimg.com/vi/j-Z-je6K4Yg/hqdefault.jpg,1,0,0,0,0,0,0.9798978494623656,182.261,0
22 Jun 2021,Should You Get A Masters in Data Science?,RRSRKf9eQxc,337,https://i.ytimg.com/vi/RRSRKf9eQxc/hqdefault.jpg,17,0,0,0,0,0,0.22892913248385408,77.14911764705883,0
22 Jun 2021,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,UKuK2fXu_dU,2351,https://i.ytimg.com/vi/UKuK2fXu_dU/hqdefault.jpg,1,0,0,0,0,0,0.3641586558911102,856.137,0
22 Jun 2021,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),ji7DtgUeKCI,550,https://i.ytimg.com/vi/ji7DtgUeKCI/hqdefault.jpg,36,5,0,0,1,0,0.4638119696969697,255.09658333333334,0
22 Jun 2021,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),YR9Faf1uZDg,557,https://i.ytimg.com/vi/YR9Faf1uZDg/hqdefault.jpg,6,0,0,0,1,0,0.1825430879712747,101.67649999999999,0
22 Jun 2021,Collision Course: Sports Betting + Data Science,DopikusDfk0,355,https://i.ytimg.com/vi/DopikusDfk0/hqdefault.jpg,13,0,0,0,0,0,0.30536836403033585,108.40576923076924,0
22 Jun 2021,Demystifying Data Science Roles,FBgs-BSTIJE,375,https://i.ytimg.com/vi/FBgs-BSTIJE/hqdefault.jpg,1,0,0,0,0,0,0.3562666666666667,133.6,0
22 Jun 2021,The PODCAST you might have asked for?,tnpV1etgcxs,139,https://i.ytimg.com/vi/tnpV1etgcxs/hqdefault.jpg,1,0,0,0,0,0,0.00983453237410072,1.367,0
22 Jun 2021,How I Learned Data Science,n3vw0M5RrPU,806,https://i.ytimg.com/vi/n3vw0M5RrPU/hqdefault.jpg,36,0,0,0,0,0,0.28182006479183896,227.14697222222222,0
22 Jun 2021,My Top 5 Data Science Resources for 2019,tv1e22u2COk,351,https://i.ytimg.com/vi/tv1e22u2COk/hqdefault.jpg,1,0,0,0,0,0,0.40625071225071224,142.594,0
