Video Title,External Video ID,Video Length,Thumbnail link,Country Code,Is Subscribed,Views,Video Likes Added,Video Dislikes Added,Video Likes Removed,User Subscriptions Added,User Subscriptions Removed,Average View Percentage,Average Watch Time,User Comments Added
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GP,false,4,0,0,0,0,0,0.8170656370656371,423.24,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,DJ,true,2,0,0,0,0,0,0.4576930501930502,237.085,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,VC,false,4,0,0,0,0,0,0.403722972972973,209.1285,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,TC,false,4,0,0,0,0,0,0.44623214285714285,231.14825,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,TJ,true,2,0,0,0,0,0,0.3932432432432432,203.7,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AG,true,2,1,0,0,0,0,0.6106332046332046,316.308,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,NC,false,1,0,0,0,0,0,0.863469111969112,447.277,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,TH,false,475,9,0,0,0,0,0.4098452834789677,212.29985684210527,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BJ,false,10,1,0,0,0,0,0.5008513513513514,259.441,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GH,true,46,5,0,0,6,0,0.5246974567735437,271.7932826086957,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MT,false,15,0,0,0,0,0,0.5450024453024453,282.31126666666665,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SD,true,24,1,0,0,3,0,0.41206748712998714,213.45095833333335,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SO,true,4,0,0,0,0,0,0.6094266409266409,315.683,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GM,false,3,0,0,0,0,0,0.5968256113256113,309.15566666666666,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,FI,false,229,6,0,0,0,0,0.5192877881000152,268.99107423580784,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,FR,false,1338,17,1,0,0,0,0.4043698108742952,209.46356203288488,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SC,true,2,1,0,0,0,0,0.6713745173745174,347.772,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GQ,true,1,0,0,0,0,0,0.03648648648648649,18.9,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,UY,true,18,1,0,0,0,1,0.6071712784212784,314.51472222222225,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,NE,true,1,0,0,0,0,0,0.7191119691119691,372.5,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AG,false,5,0,0,0,0,0,0.24976911196911197,129.3804,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,QA,false,99,0,0,0,0,0,0.3435118755118755,177.9391515151515,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PT,true,119,8,0,0,7,0,0.4784343629343629,247.829,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,EE,true,21,3,0,0,2,0,0.5475239933811362,283.6174285714286,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,KG,false,42,2,0,0,0,0,0.37581522338665196,194.67228571428572,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IR,true,25,2,0,0,5,0,0.5093364478764478,263.83628,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,CM,true,9,1,0,0,1,0,0.4432350922350922,229.59577777777778,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LT,false,145,5,0,0,0,0,0.540597190786846,280.0293448275862,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,NL,true,190,10,0,0,21,1,0.4561224852672221,236.27144736842104,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,AW,false,6,0,0,0,0,0,0.4655286357786358,241.14383333333333,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GF,false,1,0,0,0,0,0,0.688996138996139,356.9,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,ME,true,4,1,0,0,0,0,0.8875965250965251,459.775,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SI,true,8,0,0,0,1,0,0.5888684845559845,305.033875,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IL,false,487,3,1,0,0,0,0.4334005256356386,224.50147227926078,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,KR,true,169,9,0,0,17,0,0.38030255191793655,196.99672189349116,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BY,false,132,2,0,0,0,0,0.3801687287937288,196.92740151515153,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BE,true,74,2,0,0,4,0,0.5220292705833246,270.41116216216216,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BI,false,1,0,0,0,0,0,0.18684362934362933,96.785,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,SR,false,11,1,0,0,0,0,0.4261126711126711,220.72636363636363,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,BM,false,9,0,0,0,0,0,0.35395323895323894,183.3477777777778,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PL,true,298,13,0,0,36,0,0.5019106851338395,259.9897348993289,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,ET,false,61,1,0,0,0,0,0.4571219380973479,236.78916393442623,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,GE,true,15,3,0,0,1,0,0.4926764478764479,255.2064,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PF,false,1,0,0,0,0,0,0.5965250965250966,309,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,PG,false,8,0,0,0,0,0,0.42656394787644786,220.960125,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,DJ,false,4,0,0,0,0,0,0.4714565637065637,244.2145,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,LB,true,24,1,0,0,2,0,0.5214903474903475,270.132,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,HU,false,217,3,0,0,0,0,0.5006487198192268,259.33603686635945,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,IQ,false,36,1,0,0,0,0,0.43406043543543543,224.84330555555556,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,UA,false,474,14,2,1,0,0,0.38046181353143377,197.0792194092827,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,MW,false,9,0,0,0,0,0,0.5959474474474474,308.7007777777778,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,DM,true,0,0,0,0,1,0,null,null,0
Why You Probably Won't Become a Data Scientist,sHRq-LshG3U,518,https://i.ytimg.com/vi/sHRq-LshG3U/hqdefault.jpg,VI,true,0,0,0,0,1,0,null,null,0
